video_id,views,likes,estimated_payment_usd,bonus_usd,total_earning_usd
VID0001,3114193,272807,7785.48,500,8285.48
VID0002,2895306,23181,7238.27,200,7438.27
VID0003,789463,60321,1973.66,500,2473.66
VID0004,4831280,80582,12078.2,500,12578.2
VID0005,3793168,131288,9482.92,500,9982.92
VID0006,866481,67043,2166.2,500,2666.2
VID0007,826306,72385,2065.77,500,2565.77
VID0008,2190815,135861,5477.04,500,5977.04
VID0009,2315602,27019,5789.0,200,5989.0
VID0010,1633454,127227,4083.63,500,4583.64
VID0011,714682,46133,1786.7,200,1986.7
VID0012,4020433,292976,10051.08,500,10551.08
VID0013,2705034,114810,6762.59,500,7262.59
VID0014,1708754,68009,4271.89,500,4771.89
VID0015,2926340,167766,7315.85,500,7815.85
VID0016,689201,62070,1723.0,500,2223.0
VID0017,1409721,110714,3524.3,500,4024.3
VID0018,3863458,155064,9658.65,500,10158.65
VID0019,3302326,112532,8255.82,500,8755.82
VID0020,222478,13247,556.2,100,656.2
VID0021,3395375,289302,8488.44,500,8988.44
VID0022,3671247,293433,9178.12,500,9678.12
VID0023,670310,53621,1675.77,500,2175.77
VID0024,1223971,105599,3059.93,500,3559.93
VID0025,1953634,116690,4884.09,500,5384.09
VID0026,716898,22206,1792.25,200,1992.25
VID0027,3773402,359169,9433.51,500,9933.51
VID0028,798100,3439,1995.25,0,1995.25
VID0029,4364723,163813,10911.81,500,11411.81
VID0030,3553691,330109,8884.23,500,9384.23
VID0031,2764978,84482,6912.44,500,7412.44
VID0032,4421221,101972,11053.05,500,11553.05
VID0033,3317069,259128,8292.67,500,8792.67
VID0034,431056,31769,1077.64,200,1277.64
VID0035,3329788,204020,8324.47,500,8824.47
VID0036,1903034,23956,4757.59,200,4957.59
VID0037,3156074,192012,7890.19,500,8390.19
VID0038,4516317,219861,11290.79,500,11790.79
VID0039,4912849,246216,12282.12,500,12782.12
VID0040,3408682,49775,8521.7,200,8721.7
VID0041,2402738,159292,6006.84,500,6506.84
VID0042,1562277,43267,3905.69,200,4105.69
VID0043,704116,48964,1760.29,200,1960.29
VID0044,2783696,185554,6959.24,500,7459.24
VID0045,4275428,198599,10688.57,500,11188.57
VID0046,39133,971,97.83,0,97.83
VID0047,394546,1284,986.37,0,986.37
VID0048,2510073,168550,6275.18,500,6775.18
VID0049,86042,6277,215.11,0,215.11
VID0050,1296887,90882,3242.22,500,3742.22
VID0051,593677,25856,1484.19,200,1684.19
VID0052,1232370,75451,3080.92,500,3580.92
